"iso","country","EPI"
"AFG","Afghanistan","31"
"ALB","Albania","52.2"
"DZA","Algeria","41.7"
"AGO","Angola","40.1"
"ATG","Antigua and Barbuda","55.6"
"ARG","Argentina","47"
"ARM","Armenia","44.9"
"AUS","Australia","63.1"
"AUT","Austria","68.9"
"AZE","Azerbaijan","40.5"
"BHS","Bahamas","55.9"
"BHR","Bahrain","55.3"
"BGD","Bangladesh","28.1"
"BRB","Barbados","53.1"
"BLR","Belarus","58.2"
"BEL","Belgium","66.8"
"BLZ","Belize","47.4"
"BEN","Benin","37.8"
"BTN","Bhutan","43.3"
"BOL","Bolivia","45.3"
"BIH","Bosnia and Herzegovina","46"
"BWA","Botswana","49.2"
"BRA","Brazil","53"
"BRN","Brunei Darussalam","48.3"
"BGR","Bulgaria","56.2"
"BFA","Burkina Faso","42.2"
"BDI","Burundi","33.5"
"CPV","Cabo Verde","38"
"KHM","Cambodia","31.2"
"CMR","Cameroon","38.6"
"CAN","Canada","61.1"
"CAF","Central African Republic","39"
"TCD","Chad","35.9"
"CHL","Chile","49.6"
"CHN","China","35.4"
"COL","Colombia","49.7"
"COM","Comoros","38.2"
"CRI","Costa Rica","55.5"
"CIV","Cote d'Ivoire","42.9"
"HRV","Croatia","62.3"
"CUB","Cuba","52.5"
"CYP","Cyprus","53.9"
"CZE","Czech Republic","65.5"
"COD","Dem. Rep. Congo","39.5"
"DNK","Denmark","67.7"
"DJI","Djibouti","32.3"
"DMA","Dominica","49.3"
"DOM","Dominican Republic","47.7"
"ECU","Ecuador","51.3"
"EGY","Egypt","43.7"
"SLV","El Salvador","41.6"
"GNQ","Equatorial Guinea","41.7"
"ERI","Eritrea","29"
"EST","Estonia","75.7"
"SWZ","Eswatini","38.7"
"ETH","Ethiopia","36.3"
"FJI","Fiji","46"
"FIN","Finland","73.8"
"FRA","France","67"
"GAB","Gabon","53.3"
"GMB","Gambia","37.6"
"GEO","Georgia","47.3"
"DEU","Germany","74.5"
"GHA","Ghana","36.9"
"GRC","Greece","67.3"
"GRD","Grenada","45.8"
"GTM","Guatemala","32.5"
"GIN","Guinea","36.5"
"GNB","Guinea-Bissau","42"
"GUY","Guyana","49"
"HTI","Haiti","36.4"
"HND","Honduras","40.2"
"HUN","Hungary","59.8"
"ISL","Iceland","64.3"
"IND","India","45.5"
"IDN","Indonesia","33.6"
"IRN","Iran","41.8"
"IRQ","Iraq","45.7"
"IRL","Ireland","65.8"
"ISR","Israel","48"
"ITA","Italy","60.3"
"JAM","Jamaica","48.5"
"JPN","Japan","61.4"
