"Country Name","Country Code","2022","2023","2024"
"Aruba","ABW","30559.53353","33984.79062",""
"Africa Eastern and Southern","AFE","1628.318944","1568.159891","1673.841139"
"Afghanistan","AFG","357.2611528","413.7578947",""
"Africa Western and Central","AFW","1796.668633","1599.392983","1284.154441"
"Angola","AGO","2929.694455","2309.53413","2122.08369"
"Albania","ALB","6846.426694","8575.171346","10011.62799"
"Andorra","AND","42414.05901","46812.44845","49303.67339"
"Arab World","ARB","7931.617893","7479.688091","7521.153309"
"United Arab Emirates","ARE","49899.0653","49040.69475","49377.56434"
"Argentina","ARG","13935.68111","14187.48273","13858.20398"
"Armenia","ARM","6571.974455","8125.273958","8500.605225"
"American Samoa","ASM","18017.45894","",""
"Antigua and Barbuda","ATG","20105.19891","21494.5474","23725.79037"
"Australia","AUS","64997.01365","64835.91998","64407.48426"
"Austria","AUT","52176.66491","56033.57379","56833.19605"
"Azerbaijan","AZE","7770.594223","7133.02838","7283.83563"
"Burundi","BDI","250.6342254","192.0743054","153.9302179"
"Belgium","BEL","50822.25185","54690.09427","55954.61063"
"Benin","BEN","1266.42711","1394.177847","1485.38019"
"Burkina Faso","BFA","836.1183046","882.6898101","987.3213781"
"Bangladesh","BGD","2716.485928","2551.017738","2593.416074"
"Bulgaria","BGR","13999.67192","15883.86185","17412.41151"
"Bahrain","BHR","30470.52193","29290.12842","30048.21777"
"Bahamas, The","BHS","34957.16133","38231.77448","39455.44665"
"Bosnia and Herzegovina","BIH","7655.59421","8663.02323","8957.372942"
"Belarus","BLR","7994.648061","7896.753883","8316.647763"
"Belize","BLZ","7068.454783","7459.998151","8429.679597"
"Bermuda","BMU","121613.94","132604.4391","138934.9588"
"Bolivia","BOL","3643.92827","3686.279964","4001.21134"
"Brazil","BRA","9281.333344","10377.58928","10280.31486"
"Barbados","BRB","22164.02603","23804.02499","25365.79494"
"Brunei Darussalam","BRN","36632.92804","32890.54925","33417.83577"
"Bhutan","BTN","3711.32768","3839.409304",""
"Botswana","BWA","8328.709057","7826.353765","7695.242064"
"Central African Republic","CAF","467.359825","495.9788973","516.1704245"
"Canada","CAN","56256.80073","54220.3285","54282.61761"
"Central Europe and the Baltics","CEB","19548.69305","22699.53517","24543.30406"
"Switzerland","CHE","94394.51068","100631.8028","103669.872"
"Channel Islands","CHI","67627.30845","74589.13812",""
